a1;a2;Assignment:a3;total
0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00
3.50;3.50;3.50;87.50
0.00;0.00;0.00;0.00
3.50;3.50;3.50;87.50
3.00;4.00;4.00;91.67
3.50;4.00;0.00;62.50
3.00;0.00;3.50;54.17
4.00;3.00;0.00;58.33
2.00;0.00;1.00;25.00
0.00;0.00;0.00;0.00
0.00;3.00;4.00;58.33
3.50;0.00;2.00;45.83
2.50;1.50;4.00;66.67
0.00;0.00;0.00;0.00
3.50;4.00;4.00;95.83
3.50;0.50;3.50;62.50
3.00;0.00;0.00;25.00
4.00;3.00;3.50;87.50
4.00;3.50;0.00;62.50
3.00;2.50;3.00;70.83
4.00;0.00;0.00;33.33
0.00;0.00;0.00;0.00
2.50;2.00;2.50;58.33
3.50;4.00;4.00;95.83
3.50;3.50;3.50;87.50
0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00
3.50;0.00;0.00;29.17
3.50;3.00;4.00;87.50
0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00
4.00;3.50;3.50;91.67
3.50;3.50;4.00;91.67
0.00;0.00;0.00;0.00
3.00;4.00;3.50;87.50
0.00;3.00;4.00;58.33
0.00;0.00;0.00;0.00
0.00;0.00;3.50;29.17
3.50;2.00;0.00;45.83
4.00;3.50;4.00;95.83
3.50;4.00;4.00;95.83
4.00;3.50;4.00;95.83
3.00;2.50;3.50;75.00
0.00;0.00;4.00;33.33
0.00;0.00;0.00;0.00
3.50;0.00;3.00;54.17
3.00;4.00;3.00;83.33
3.50;2.00;0.00;45.83
0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00
4.00;4.00;3.00;91.67
4.00;0.00;0.00;33.33
4.00;4.00;4.00;100.00
3.50;4.00;4.00;95.83
3.50;4.00;4.00;95.83
3.50;4.00;0.00;62.50
4.00;4.00;4.00;100.00
3.50;0.00;3.50;58.33
0.00;1.00;0.00;8.33
0.00;0.00;3.50;29.17
3.00;0.00;4.00;58.33
0.00;0.00;0.00;0.00
4.00;2.00;4.00;83.33
0.00;0.00;2.50;20.83
3.50;3.50;3.50;87.50
3.50;3.50;3.50;87.50
3.00;4.00;3.50;87.50
0.00;0.00;0.00;0.00
3.50;0.00;0.00;29.17
3.50;3.50;4.00;91.67
4.00;4.00;3.50;95.83
0.00;0.00;0.00;0.00
2.50;4.00;3.50;83.33
3.00;4.00;3.50;87.50
3.00;3.50;4.00;87.50
4.00;4.00;3.50;95.83
0.00;0.00;0.00;0.00
4.00;4.00;3.50;95.83
0.00;0.00;0.00;0.00
3.50;4.00;3.50;91.67
3.00;3.50;2.00;70.83
3.00;0.00;2.00;41.67
4.00;3.50;3.00;87.50
0.00;0.00;0.00;0.00
3.00;0.00;3.50;54.17
3.50;4.00;3.50;91.67
4.00;2.00;3.00;75.00
0.00;0.00;4.00;33.33
4.00;4.00;3.50;95.83
0.00;1.00;3.50;37.50
3.50;4.00;3.50;91.67
3.50;0.00;3.00;54.17
0.00;4.00;4.00;66.67
2.00;0.00;0.00;16.67
3.00;0.00;4.00;58.33
4.00;4.00;4.00;100.00
3.00;3.00;4.00;83.33
3.00;0.00;0.00;25.00
3.50;0.00;0.00;29.17
3.00;3.00;2.50;70.83
4.00;3.00;3.50;87.50
0.00;0.00;0.00;0.00
