wl,n
0.2900,1.5145777204082
0.3121,1.5092112868865
0.3342,1.5049961987453
0.3563,1.5016153970446
0.3784,1.4988558885761
0.4005,1.496569610433
0.4226,1.4946506898002
0.4447,1.4930216011953
0.4668,1.4916244098644
0.4889,1.49041505042
0.5110,1.4893594837084
0.5331,1.4884310526027
0.5552,1.4876086240083
0.5773,1.486875258765
0.5994,1.486217243501
0.6215,1.4856233753353
0.6436,1.4850844262039
0.6657,1.4845927367446
0.6878,1.484141904927
0.7099,1.483726544853
0.7320,1.4833420981287
0.7541,1.4829846850495
0.7762,1.482650986233
0.7983,1.4823381477539
0.8204,1.4820437045732
0.8425,1.4817655183243
0.8646,1.481501726448
0.8867,1.4812507003621
0.9088,1.4810110108734
0.9309,1.4807813994261
0.9530,1.4805607540874
0.9751,1.4803480893939
0.9972,1.4801425293651
1.019,1.4799459585303
1.041,1.4797531407262
1.064,1.4795568586655
1.086,1.4793736048825
1.108,1.4791942391252
1.130,1.4790183114533
1.152,1.4788454146272
1.174,1.4786751792727
1.196,1.478507269673
1.218,1.4783413800957
1.240,1.4781772315789
1.262,1.4780145691122
1.285,1.4778458485599
1.307,1.4776855192541
1.329,1.4775260227435
1.351,1.4773671784497
1.373,1.4772088198577
1.395,1.477050793174
1.417,1.4768929561312
1.439,1.476735176921
1.461,1.4765773332394
1.483,1.476419311432
1.506,1.4762538016437
1.528,1.4760950938411
1.550,1.4759359075163
1.572,1.4757761569324
1.594,1.4756157618357
1.616,1.4754546470001
1.638,1.4752927418145
1.660,1.4751299799083
1.682,1.4749662988108
1.704,1.4748016396425
1.727,1.4746283899192
1.749,1.474461560376
1.771,1.4742935927743
1.793,1.474124440128
1.815,1.4739540578486
1.837,1.4737824035658
1.859,1.4736094369629
1.881,1.4734351196258
1.903,1.4732594149038
1.925,1.4730822877824
1.948,1.4728955522372
1.970,1.4727154128592
1.992,1.4725337533493
2.014,1.4723505441985
2.036,1.4721657570242
2.058,1.4719793644917
2.080,1.4717913402403
2.102,1.4716016588155
2.124,1.471410295606
2.146,1.4712172267847
2.169,1.4710135333805
2.191,1.4708169046031
2.213,1.4706185019347
2.235,1.4704183042011
2.257,1.4702162907724
2.279,1.4700124415245
2.301,1.4698067368033
2.323,1.4695991573909
2.345,1.4693896844742
2.367,1.4691782996155
2.390,1.4689552424462
2.412,1.4687398908014
2.434,1.4685225730975
2.456,1.4683032721497
2.478,1.4680819710248
2.500,1.4678586530209
